subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.6900224480038364,0.6473376445667085,0.7102310804184373,0.6799475659910807,0.6985615722668005,0.6859069325663153,0.7145254043540442,0.7585826570417363,0.6117515175219779,0.7277959721437981,0.7047404860885043,0.6118912326397877,0.6847266621887063,0.7579882874525732,0.6164844571848875,0.6866995946952797
RF_AUC,0.7161555430456641,0.783358412591787,0.7189214544513457,0.6071363090669479,0.6719782538169158,0.7109302293517901,0.7098733797286612,0.7850606909430438,0.6466957843236616,0.6420151044607566,0.799717843976891,0.694395874337604,0.6864251778317686,0.7549006444683136,0.706557699924232,0.708941493487959
AB_AUC,0.563273829715061,0.7734299768019515,0.690337085921325,0.6748878158228466,0.6986168737230171,0.7210221709439718,0.7171544590469774,0.8232178932178932,0.7880224262097664,0.5587288255223037,0.7908508910510185,0.6618461549067642,0.6339884702681545,0.6362592910995166,0.6912887474797726,0.6948616607820226
KN_AUC,0.7360448523250943,0.7050074771287826,0.7018364525444045,0.6543588418893325,0.7597091070832054,0.7035524315881386,0.7275448927434691,0.7723986762030239,0.7908333230424023,0.6854297634732418,0.8128985332219538,0.6947130125300134,0.6902365425021415,0.7114097335666886,0.647417052662071,0.7195593795002642
LDA_AUC,0.7079197660237773,0.8041928788234207,0.7246667960662525,0.6599673202614379,0.6959327114072048,0.7065587925079795,0.7592708946327188,0.7523771096053704,0.7648341570336454,0.7579860718991154,0.8159065581304525,0.7033397084098412,0.7107725419588864,0.8727678571428572,0.7340527527609405,0.7447030611109267
SVM_AUC,0.7303030303030303,0.7117200328407224,0.7288237577639752,0.6264894830785032,0.7149236411124201,0.6994307567161402,0.7626671788519732,0.7761559696342305,0.7746632186370037,0.673435284522241,0.8021221284144466,0.7059777471926547,0.6786214368870503,0.7795991602382579,0.6770516736407678,0.7227989666555613
GB_AUC,0.7127111500129224,0.7051775451559934,0.6666298899422469,0.5945980822395606,0.7199408717420268,0.7306510996523303,0.7488725996274215,0.7494778530648095,0.6421593467629273,0.6774735711148756,0.7928616086417172,0.6692276269482151,0.6826585395975275,0.7904104823747681,0.5859129735363156,0.6979175493609104
DT_F1,0.5317037625861155,0.40279304029304025,0.5589912021146487,0.40127790994931506,0.5536893471433622,0.49334415584415586,0.5749360638125932,0.6259041334135202,0.3119345415354945,0.5647904008559745,0.556704260651629,0.4007848944835246,0.5104260242275759,0.622960372960373,0.4081770827263934,0.5012278128398477
RF_F1,0.5453328465376658,0.609484011627907,0.5368773946360154,0.2834033613445378,0.4971617831014745,0.5425700687466948,0.5442942942942943,0.6101482976482976,0.35657596371882083,0.43380281690140843,0.6551067073170732,0.5406320126549682,0.49692101740294514,0.6017703750261889,0.49292481850621384,0.5164670512976337
AB_F1,0.3545727745289149,0.6387018265756724,0.48263888888888884,0.396011396011396,0.539500035762821,0.5618191721132898,0.5582340408742996,0.7179644316270126,0.6498291071040033,0.2900564481111594,0.6141405764047274,0.4940577249575552,0.477717682817808,0.4351190476190476,0.4888511273209549,0.5132809520478367
KN_F1,0.5732142857142857,0.45703933747412007,0.5429824561403509,0.335409898389438,0.6461302211302211,0.5443977591036415,0.5656028368794326,0.6130115167851017,0.6372463768115942,0.4881335881335882,0.729850540986613,0.5461256672631885,0.5218230045816252,0.5740012782497956,0.4287518037518038,0.5469147047596533
LDA_F1,0.5443252983575564,0.6619875222816399,0.555759457933371,0.3153214774281806,0.5315519323671498,0.5347699629825489,0.6139610389610389,0.5952380952380951,0.6118686868686869,0.5917280917280918,0.6731831395348837,0.541358024691358,0.5422014260249555,0.7815829528158296,0.5357142857142857,0.5753700928618449
SVM_F1,0.5727605727605728,0.4738772744870306,0.556656346749226,0.29354354354354356,0.5519607843137254,0.5351604278074866,0.6103382433169667,0.6155906264945002,0.6192043713915399,0.46227275464815154,0.6553052325581395,0.5573656363130048,0.49396582100070474,0.6364828684105792,0.44166666666666665,0.5384100780307892
GB_F1,0.5614560639070443,0.4601560583010257,0.5005736714975846,0.28401826484018267,0.5633838383838384,0.5581302966101694,0.5953907203907205,0.6198977729098212,0.3671864675564953,0.46411728428651755,0.6724613039399625,0.43683552220137584,0.5222222222222223,0.6391277641277642,0.37592378381852065,0.5080587356662163
DT_ACC,0.5789473684210527,0.5,0.6024096385542169,0.42105263157894735,0.6071428571428571,0.5394736842105263,0.6097560975609756,0.7209302325581395,0.4186046511627907,0.6410256410256411,0.5975609756097561,0.4827586206896552,0.6235294117647059,0.6463414634146342,0.45121951219512196,0.5627168523926013
RF_ACC,0.6842105263157895,0.7692307692307693,0.6987951807228916,0.40789473684210525,0.6309523809523809,0.6052631578947368,0.6463414634146342,0.7906976744186046,0.47674418604651164,0.5256410256410257,0.8048780487804879,0.632183908045977,0.6352941176470588,0.7560975609756098,0.6707317073170732,0.6489970962830436
AB_ACC,0.4473684210526316,0.6794871794871795,0.6626506024096386,0.5263157894736842,0.6547619047619048,0.631578947368421,0.6585365853658537,0.8255813953488372,0.7674418604651163,0.358974358974359,0.7560975609756098,0.5977011494252874,0.5058823529411764,0.573170731707317,0.524390243902439,0.6113292722439636
KN_ACC,0.7105263157894737,0.5897435897435898,0.5903614457831325,0.4605263157894737,0.75,0.6052631578947368,0.6707317073170732,0.7790697674418605,0.7906976744186046,0.6025641025641025,0.7682926829268293,0.6091954022988506,0.6588235294117647,0.5975609756097561,0.5365853658536586,0.6479961355228604
LDA_ACC,0.6710526315789473,0.7692307692307693,0.6867469879518072,0.5526315789473685,0.6666666666666666,0.5921052631578947,0.7439024390243902,0.7558139534883721,0.7441860465116279,0.7051282051282052,0.8292682926829268,0.6436781609195402,0.6823529411764706,0.9146341463414634,0.6829268292682927,0.7093549941383162
SVM_ACC,0.7105263157894737,0.6025641025641025,0.7108433734939759,0.4605263157894737,0.6904761904761905,0.5921052631578947,0.7317073170731707,0.7906976744186046,0.7558139534883721,0.5769230769230769,0.8048780487804879,0.6551724137931034,0.6352941176470588,0.7926829268292683,0.6097560975609756,0.6746644791856818
GB_ACC,0.6842105263157895,0.5897435897435898,0.5421686746987951,0.39473684210526316,0.7023809523809523,0.631578947368421,0.7073170731707317,0.7209302325581395,0.47674418604651164,0.5769230769230769,0.7682926829268293,0.5862068965517241,0.611764705882353,0.7926829268292683,0.4024390243902439,0.6125413558594459
